Taxkey,Nbhd,Stories,Year_Built,Nr_of_rms,Fin_sqft,Lotsize,Sale_date,Sale_price
3230461110,6258,2.0,1880,0,1840,12750,2002-01-01,15900
3590192000,6262,2.0,1876,0,6377,11840,2002-01-01,850000
4161194000,6272,1.0,1954,0,5022,9700,2002-01-01,119000
1719836000,6218,2.0,1955,0,6420,8792,2002-01-01,210000
3480290000,6254,2.0,1909,0,5956,4840,2002-01-01,48500
4069983200,6272,1.0,1954,0,14200,16696,2002-01-01,885000
4320050100,6277,1.0,1974,0,3750,10400,2002-01-01,186000
6259989110,6418,1.0,2002,0,2775,14400,2002-01-01,225000
4670522000,6278,2.0,1887,0,3818,3040,2002-01-01,100000
3211121000,6260,2.0,1890,0,2142,2500,2002-01-01,150000
3080013000,2960,2.0,1913,0,3476,5040,2002-02-01,42000
3860309100,6272,0.0,0,0,0,66400,2002-02-01,600000
2520912000,6226,1.0,1981,0,3545,6760,2002-02-01,190000
3140020000,6260,1.5,1905,0,2100,7200,2002-02-01,55000
3870209000,6270,3.0,1929,0,81000,30000,2002-02-01,1752700
1029974100,6216,1.0,1993,0,6360,50749,2002-02-01,315000
2930403000,6226,1.0,1957,0,1410,4820,2002-02-01,105000
3461624000,6250,2.0,1929,0,4810,4800,2002-02-01,88000
4320898000,6277,2.0,1885,0,4560,3500,2002-02-01,150000
2620416000,6226,2.0,1953,0,3768,4800,2002-02-01,130000
4620635000,6280,2.0,1870,0,2999,3375,2002-02-01,65000
1779982110,6212,1.0,1969,0,6170,13947,2002-02-01,235000
5829987100,6418,1.0,1958,0,1296,13539,2002-02-01,314800
1060101000,6206,1.0,1985,0,2101,23052,2002-02-01,232500
4570437000,6274,1.0,1947,0,2500,2500,2002-02-01,84500
3590685100,6974,3.0,1964,0,35736,19100,2002-03-01,2000000
2670677100,6244,1.0,1948,0,2560,9600,2002-03-01,115000
3661510000,6254,0.0,0,0,0,2590,2002-03-01,48000
3590210000,6262,2.0,1915,0,5826,6075,2002-03-01,350000
2890001000,6244,1.5,1905,0,1502,5242,2002-03-01,65000
2811739000,6238,2.0,1928,0,5100,7200,2002-03-01,120000
2810949000,6238,2.0,1924,0,4144,3000,2002-03-01,110000
3040060000,6226,1.0,1928,0,7869,11200,2002-03-01,190000
2490801100,6230,1.0,1990,0,6960,21212,2002-03-01,825000
390363000,6202,1.0,2002,0,12400,104588,2002-03-01,144000
2890385000,6244,1.0,1989,0,1080,4109,2002-03-01,64000
1040211111,6300,0.0,0,0,0,37852,2002-03-01,68200
1910422100,6218,2.0,1946,0,3697,11550,2002-04-01,130000
3242416000,6256,1.0,1941,0,1338,4320,2002-04-01,38000
4620803100,6423,2.0,1926,0,26130,17642,2002-04-01,275000
4000041100,6270,1.0,1947,0,3654,12600,2002-04-01,81900
5071110000,6284,1.0,1923,0,1895,2140,2002-04-01,55000
4350401000,6274,1.0,1984,0,2247,5000,2002-04-01,161500
2070841000,6232,2.0,1949,0,7485,10759,2002-04-01,164700
2740314000,6238,2.0,1957,0,5382,4500,2002-04-01,80000
5259925000,6288,2.0,1958,0,3598,9420,2002-04-01,230000
4980106000,6281,2.0,1912,0,2600,2000,2002-04-01,95000
839997141,6208,1.0,1972,0,5075,14472,2002-04-01,212000
4970535000,6281,2.0,1895,0,5280,7200,2002-04-01,64000
4680813000,6281,2.0,1890,0,2800,3080,2002-04-01,55000
3211609000,6260,2.0,1895,0,2300,6000,2002-04-01,55000
3190434000,3170,2.0,1897,0,1992,2880,2002-05-01,145000
1080393100,6970,2.0,1980,0,31424,0,2002-05-01,1500000
2260398100,6230,0.0,0,0,0,20982,2002-05-01,190000
4611499000,6278,0.0,0,0,0,4075,2002-05-01,115000
5810245100,6290,0.0,0,0,0,9136,2002-05-01,105000
4949993100,6283,1.0,1964,0,5318,13700,2002-05-01,130000
2700308000,6240,3.0,1928,0,20388,8526,2002-05-01,307000
2871304000,6242,2.0,1918,0,5812,4259,2002-05-01,115000
2701743100,6234,2.0,1914,0,2978,5196,2002-05-01,20000
3530215000,6266,1.0,1936,0,6000,3750,2002-05-01,160000
2640013000,6226,1.0,1955,0,4500,9600,2002-05-01,131000
5051148100,6282,1.0,1984,0,5298,18518,2002-05-01,485000
2249999110,6226,1.0,1946,0,5666,14107,2002-05-01,252000
2820378000,6240,2.0,1890,0,2635,7200,2002-05-01,25000
1459992111,6212,1.0,1965,0,42389,143310,2002-05-01,339477
4280444000,6275,1.0,1907,0,5623,4550,2002-05-01,80000
3891722000,3040,2.0,1907,0,2339,3185,2002-06-01,30000
350051000,6418,0.0,0,0,0,222592,2002-06-01,500000
4590004000,6277,0.0,0,0,0,2961,2002-06-01,6000
4692287000,6278,0.0,0,0,0,4449,2002-06-01,48900
3512690000,6256,1.0,1911,0,4260,3600,2002-06-01,41400
4340605000,6277,2.0,1927,0,4158,3240,2002-06-01,67500
3210715000,6260,2.0,1885,0,3068,3600,2002-06-01,97000
5279994220,6288,1.0,1961,0,1944,2280,2002-06-01,137500
4219942120,6272,1.0,1975,0,5000,16423,2002-06-01,308400
2879998110,6418,1.0,1967,0,1625,15902,2002-06-01,600000
5151708110,6288,1.0,1961,0,5760,12668,2002-06-01,235000
2080010000,6232,1.0,1950,0,1200,4615,2002-06-01,20000
4701101000,6278,1.0,1950,0,13127,13127,2002-06-01,60000
6260232000,6290,1.0,1973,0,19287,40946,2002-06-01,695000
1029972000,6216,1.0,1955,0,6975,16001,2002-06-01,128000
4340558000,6277,1.0,1920,0,6885,7416,2002-06-01,100000
4270422200,6276,1.0,1947,0,2388,6180,2002-06-01,45000
2721710000,6240,0.0,0,0,0,1172,2002-06-01,18000
